area,hour,n
AT Extension,0,48
AT Extension,1,134
AT Extension,2,174
AT Extension,3,160
AT Extension,4,188
AT Extension,5,196
AT Extension,6,119
AT Extension,7,157
AT Extension,8,185
AT Extension,9,293
AT Extension,10,182
AT Extension,11,209
AT Extension,12,163
AT Extension,13,107
AT Extension,14,59
AT Extension,15,31
AT Extension,16,4
AT Extension,17,1
Ajmera Annex,2,6
Ajmera Annex,3,16
Ajmera Annex,4,16
Ajmera Annex,5,23
Ajmera Annex,6,36
Ajmera Annex,7,15
Ajmera Annex,8,5
Ajmera Annex,9,23
Ajmera Annex,10,41
Ajmera Annex,11,52
Ajmera Annex,12,253
Ajmera Annex,13,244
Ajmera Annex,14,75
Anand Rao Circle,0,20
Anand Rao Circle,1,78
Anand Rao Circle,2,127
Anand Rao Circle,3,142
Anand Rao Circle,4,62
Anand Rao Circle,5,102
Anand Rao Circle,6,60
Anand Rao Circle,7,57
Anand Rao Circle,8,85
Anand Rao Circle,9,148
Anand Rao Circle,10,77
Anand Rao Circle,11,79
Anand Rao Circle,12,29
Anand Rao Circle,13,20
Anand Rao Circle,14,35
Anand Rao Circle,15,7
Ashwath Nagar,0,2
Ashwath Nagar,1,15
Ashwath Nagar,2,45
Ashwath Nagar,3,57
Ashwath Nagar,4,78
Ashwath Nagar,5,59
Ashwath Nagar,6,43
Ashwath Nagar,7,68
Ashwath Nagar,8,75
Ashwath Nagar,9,42
Ashwath Nagar,10,105
Ashwath Nagar,11,107
Ashwath Nagar,12,46
Ashwath Nagar,13,31
Ashwath Nagar,14,12
Ashwath Nagar,15,1
Ashwath Nagar,17,2
Ashwath Nagar,22,1
Begur Chikkanahalli,0,205
Begur Chikkanahalli,1,346
Begur Chikkanahalli,2,229
Begur Chikkanahalli,3,360
Begur Chikkanahalli,4,492
Begur Chikkanahalli,5,483
Begur Chikkanahalli,6,122
Begur Chikkanahalli,7,67
Begur Chikkanahalli,8,299
Begur Chikkanahalli,9,133
Begur Chikkanahalli,10,216
Begur Chikkanahalli,11,289
Begur Chikkanahalli,12,362
Begur Chikkanahalli,13,267
Begur Chikkanahalli,14,143
Begur Chikkanahalli,15,45
Begur Chikkanahalli,16,20
Begur Chikkanahalli,17,10
Begur Chikkanahalli,23,18
Bescom Employees House Building Cooperative Society,0,2
Bescom Employees House Building Cooperative Society,1,9
Bescom Employees House Building Cooperative Society,2,40
Bescom Employees House Building Cooperative Society,3,80
Bescom Employees House Building Cooperative Society,4,89
Bescom Employees House Building Cooperative Society,5,86
Bescom Employees House Building Cooperative Society,6,35
Bescom Employees House Building Cooperative Society,7,101
Bescom Employees House Building Cooperative Society,8,89
Bescom Employees House Building Cooperative Society,9,82
Bescom Employees House Building Cooperative Society,10,76
Bescom Employees House Building Cooperative Society,11,101
Bescom Employees House Building Cooperative Society,12,60
Bescom Employees House Building Cooperative Society,13,11
Bescom Employees House Building Cooperative Society,14,1
Block C,2,54
Block C,3,87
Block C,4,129
Block C,5,73
Block C,6,54
Block C,7,47
Block C,8,68
Block C,9,60
Block C,10,35
Block C,11,88
Block C,12,62
Block C,13,19
Block C,14,6
Block C,16,3
Brigade Tech Gardens,2,2
Brigade Tech Gardens,3,95
Brigade Tech Gardens,4,97
Brigade Tech Gardens,5,164
Brigade Tech Gardens,6,42
Brigade Tech Gardens,7,120
Brigade Tech Gardens,8,67
Brigade Tech Gardens,9,51
Brigade Tech Gardens,10,195
Brigade Tech Gardens,11,48
Brigade Tech Gardens,13,1
Chanda Nagar,0,208
Chanda Nagar,1,217
Chanda Nagar,2,35
Chanda Nagar,3,44
Chanda Nagar,4,30
Chanda Nagar,5,17
Chanda Nagar,6,14
Chanda Nagar,7,53
Chanda Nagar,8,55
Chanda Nagar,9,53
Chanda Nagar,10,21
Chanda Nagar,11,29
Chanda Nagar,12,7
Chanda Nagar,14,2
Chanda Nagar,22,12
Chanda Nagar,23,55
Chickpet Circle,0,64
Chickpet Circle,1,90
Chickpet Circle,2,54
Chickpet Circle,3,17
Chickpet Circle,4,57
Chickpet Circle,5,132
Chickpet Circle,6,118
Chickpet Circle,7,177
