h3,n_total,n_parking,severity_mean,severity_sum,n_days,peak_share,weekend_share,persistence,top_violation,area,junction,police_station,top_vehicle,lat,lon,cis_raw,CIS,class,rank,total_days
8960145b553ffff,12123,12123,0.4569765734554153,5539.927,151,0.4917924606120597,0.35601748742060546,1.0,NO PARKING,Kempe Gowda Circle,BTP040 - Elite Junction,Upparpet,SCOOTER,12.976409087424585,77.5759204607417,4413.753932376474,100.0,Chronic,1,151
8960145b59bffff,8585,8585,0.4857070471753058,4169.795,151,0.29656377402446127,0.27757716948165406,1.0,WRONG PARKING,City Market Circle,BTP082 - KR Market Junction,City Market,SCOOTER,12.96465116440439,77.57632508363632,2996.5210568433313,95.39,Chronic,2,151
8961892e9abffff,6667,6667,0.47282510874456274,3152.325,149,0.6829158542072896,0.38458077096145193,0.9867549668874173,WRONG PARKING,Tasker Town,BTP051 - Safina Plaza Junction,Shivajinagar,SCOOTER,12.981645967305287,77.60790407487231,2730.629883372387,94.28,Chronic,3,151
8960145b427ffff,7369,7369,0.4514045325010178,3326.4,151,0.34428009227846385,0.3250101777717465,1.0,NO PARKING,Sri Kanakadasa Circle,BTP044 - Sagar Theatre Junction,Upparpet,CAR,12.97746783062643,77.57894671319185,2453.925319582033,93.01,Chronic,4,151
8960145b5cbffff,5992,5992,0.4618457943925234,2767.38,150,0.5272029372496663,0.3503004005340454,0.9933774834437086,NO PARKING,Kempegowda Extension,BTP044 - Sagar Theatre Junction,Upparpet,SCOOTER,12.974263654955623,77.57829127810561,2235.0997245528256,91.9,Chronic,5,151
89618920923ffff,6749,6749,0.5138947992295154,3468.276,95,0.34493999110979406,0.17069195436360943,0.6291390728476821,NO PARKING,New Horizon College of Engineering,No Junction,HAL Old Airport,SCOOTER,12.933223647523132,77.69077993064658,1989.9723238992872,90.51,Chronic,6,151
8961892e917ffff,4874,4874,0.47112966762412806,2296.286,150,0.5666803446860894,0.37115305703734097,0.9933774834437086,WRONG PARKING,Sri Nagamma Devi Circle,BTP051 - Safina Plaza Junction,Shivajinagar,SCOOTER,12.982704611494386,77.61093157697483,1890.7328396118337,89.9,Chronic,7,151
8961892e9bbffff,4257,4257,0.47192389006342494,2008.98,140,0.6929762743716232,0.4970636598543575,0.9271523178807947,WRONG PARKING,Sri Nagamma Devi Circle,BTP051 - Safina Plaza Junction,Shivajinagar,PASSENGER AUTO,12.979499946671595,77.61027556237418,1685.2323356005768,88.53,Chronic,8,151
8960145b3a7ffff,4293,4293,0.46676939203354295,2003.841,142,0.44770556720242255,0.2862799906825064,0.9403973509933775,WRONG PARKING,Rajaji Nagar,BTP027 - Modi Bridge Junction,Rajajinagar,SCOOTER,13.000003175983794,77.54984346680071,1505.327456235023,87.19,Chronic,9,151
8961892e2bbffff,3332,3332,0.5263388355342137,1753.761,149,0.20978391356542617,0.31962785114045617,0.9867549668874173,WRONG PARKING,Devasandra Junction,No Junction,K.R. Pura,SCOOTER,13.009140358493172,77.69509425538708,1189.8891163882242,84.39,Chronic,10,151
8960145a26bffff,3653,3653,0.46232959211606894,1688.8899999999999,116,0.37311798521762934,0.17793594306049823,0.7682119205298014,WRONG PARKING,Manuvana,BTP020 - Hosahalli Metro Station,Vijayanagara,SCOOTER,12.97437379053479,77.54460425854465,1089.413855435884,83.34,Chronic,11,151
