h3,lat,lon,area,cost_year,CIS,n_parking
8960145b553ffff,12.976409087424585,77.5759204607417,Kempe Gowda Circle,669560.713576159,100.0,12123
8960145b59bffff,12.96465116440439,77.57632508363632,City Market Circle,503965.2897350994,95.39,8585
8961892e9abffff,12.981645967305287,77.60790407487231,Tasker Town,380992.9221854305,94.28,6667
8960145b427ffff,12.97746783062643,77.57894671319185,Sri Kanakadasa Circle,402031.7880794703,93.01,7369
8960145b5cbffff,12.974263654955623,77.57829127810561,Kempegowda Extension,334468.11258278147,91.9,5992
89618920923ffff,12.933223647523132,77.69077993064658,New Horizon College of Engineering,419179.05298013246,90.51,6749
8961892e917ffff,12.982704611494386,77.61093157697483,Sri Nagamma Devi Circle,277531.25496688747,89.9,4874
8961892e9bbffff,12.979499946671595,77.61027556237418,Sri Nagamma Devi Circle,242807.18543046364,88.53,4257
8960145b3a7ffff,13.000003175983794,77.54984346680071,Rajaji Nagar,242186.0811258278,87.19,4293
8961892e2bbffff,13.009140358493172,77.69509425538708,Devasandra Junction,211961.18046357617,84.39,3332
8960145a26bffff,12.97437379053479,77.54460425854465,Manuvana,204120.81125827815,83.34,3653
8961892e937ffff,12.982733210890897,77.60250530686746,Shivaji Nagar,172576.71357615895,83.02,3079
8960145b543ffff,12.978554434046352,77.57354967361115,AT Extension,170476.15066225166,82.56,2914
8960145b30fffff,13.010673683143166,77.55483414866346,Orion,145499.63576158942,82.25,2592
89618925b7bffff,12.964622554379812,77.58474838218396,Shoukath Mohalla,149512.3394039735,81.62,2653
896016964b7ffff,13.07255955260552,77.58716314506412,Fortuna Acacia,159306.78807947022,81.4,2804
8960145b2a7ffff,13.007417927733565,77.57102461180281,Ranganathapura,140247.62417218546,80.46,2498
8960145b5c7ffff,12.970000833394062,77.57460972111427,Chickpet Circle,135541.90397350994,80.39,2394
89601690193ffff,13.185608135049264,77.68064176165208,Begur Chikkanahalli,152259.38741721856,80.33,2548
8960145b307ffff,13.007469925642374,77.55417907160238,Rajaji Nagar,141392.17715231792,79.98,2524
8960145b377ffff,13.012818011780556,77.55246351391641,Kirloskar Foundry,119949.63576158941,79.34,2163
8960145b55bffff,12.979613223528302,77.57657585825223,R Subanna Circle,123774.52152317883,78.69,2213
8960145a24fffff,12.973287826618714,77.54999956782973,Mallige Thotta,131269.4701986755,78.32,2514
8960145b16bffff,12.996799481813879,77.54918850116988,Manjunatha Nagar,111161.11258278147,77.66,1891
89618920963ffff,12.94069311529191,77.69512487563676,Kadubisanahalli Junction,122183.14569536425,75.99,1509
8960145b4cbffff,12.98167451890872,77.59947811999245,Mantri Altiue Apartment,112646.00993377485,75.84,2009
8960145b073ffff,12.998865016133278,77.5720847986004,RR Palace,79027.3344370861,75.17,1410
8961892e16bffff,12.99640764193975,77.66716347604782,Royal Heritage,96909.67549668875,75.13,1305
8961892e387ffff,12.999583246892685,77.67625343565611,Venkatappa Colony,118699.69205298014,75.02,1837
8961892e9a3ffff,12.97844134799895,77.60724811631391,Tasker Town,86891.99668874174,74.91,1577
89618925b6fffff,12.965709724440659,77.57935123577114,Dodpete,81853.66721854305,74.2,1407
8961892c9d7ffff,13.035144005155646,77.5907477030071,Vinayaka Nagar,91933.46854304639,73.97,1754
8960145b3b7ffff,12.997858688504897,77.55221395118276,Navarang Circle,84164.40728476823,73.96,1429
8960145b58bffff,12.966796715509812,77.57395437899618,Santhusapete,90393.70033112583,73.92,1451
89618925b63ffff,12.963564041258365,77.58172203843483,Potters Colony,76941.27483443709,73.1,1329
89618925b2bffff,12.959301336693967,77.57804041970552,Kalasipalyam,84953.75000000003,73.1,1425
8961892cb7bffff,13.06935538079265,77.5865073615551,Fortune Acacia,80313.29470198676,72.96,1406
89618920b0fffff,12.957781055162462,77.701442892283,Marathahalli,76367.78973509934,72.61,1318
8960169052fffff,13.182402701570084,77.67998407618401,Begur Chikkanahalli,80188.08278145696,72.24,1286
8960145a223ffff,12.9637041207288,77.53961509431802,RPC Layout,92972.26821192054,71.72,1590
8961892cb4fffff,13.070415490648262,77.58953492414777,Olivia,70998.5430463576,71.26,1246
8960145b6a7ffff,12.99240244249606,77.587621962968,Kalpana Circle,96430.09933774835,71.12,1637
8960145b547ffff,12.97749564390411,77.5705236128301,Majestic Circle,79599.61092715232,70.73,1350
8961892e98fffff,12.98055854458168,77.61330313217205,Sivanchetti Gardens,58468.89072847682,70.35,1068
8960145a2b7ffff,12.953006965122391,77.54304558560234,Satellite Bus Stand Junction,66632.20033112583,70.33,1090
8961892e933ffff,12.983791902122054,77.60553261750874,Chandni Chowk,66387.6986754967,70.21,1098
8960145b323ffff,13.008554904176677,77.54878292418903,Rajaji Nagar,55779.3725165563,70.09,964
89618925b67ffff,12.962505527498655,77.57869581850632,City Market Circle,59568.72516556292,69.6,995
89618925453ffff,12.931108774035975,77.68472005396784,Saffron Square,69440.40397350994,69.6,1137
