h3,lat,lon,area,CIS,CIS_adj,hidden_uplift_%,enf_days,police_station
8960145b553ffff,12.976409087424585,77.5759204607417,Kempe Gowda Circle,100.0,100.0,0.0,151,Upparpet
8960145b59bffff,12.96465116440439,77.57632508363632,City Market Circle,95.39,95.49,0.0,151,City Market
8961892e9abffff,12.981645967305287,77.60790407487231,Tasker Town,94.28,94.41,0.0,149,Shivajinagar
8960145b427ffff,12.97746783062643,77.57894671319185,Sri Kanakadasa Circle,93.01,93.03,0.0,151,Upparpet
8960145b5cbffff,12.974263654955623,77.57829127810561,Kempegowda Extension,91.9,91.9,0.0,150,Upparpet
89618920923ffff,12.933223647523132,77.69077993064658,New Horizon College of Engineering,90.51,92.01,2.0,95,HAL Old Airport
8961892e917ffff,12.982704611494386,77.61093157697483,Sri Nagamma Devi Circle,89.9,90.0,0.0,150,Shivajinagar
8961892e9bbffff,12.979499946671595,77.61027556237418,Sri Nagamma Devi Circle,88.53,88.76,0.0,140,Shivajinagar
8960145b3a7ffff,13.000003175983794,77.54984346680071,Rajaji Nagar,87.19,87.4,0.0,142,Rajajinagar
8961892e2bbffff,13.009140358493172,77.69509425538708,Devasandra Junction,84.39,84.45,0.0,149,K.R. Pura
8960145a26bffff,12.97437379053479,77.54460425854465,Manuvana,83.34,84.05,1.0,116,Vijayanagara
8961892e937ffff,12.982733210890897,77.60250530686746,Shivaji Nagar,83.02,83.31,0.0,134,Shivajinagar
8960145b543ffff,12.978554434046352,77.57354967361115,AT Extension,82.56,82.74,0.0,147,Upparpet
8960145b30fffff,13.010673683143166,77.55483414866346,Orion,82.25,82.59,0.0,137,Malleshwaram
89618925b7bffff,12.964622554379812,77.58474838218396,Shoukath Mohalla,81.62,82.03,1.0,132,Halasuru Gate
896016964b7ffff,13.07255955260552,77.58716314506412,Fortuna Acacia,81.4,82.42,1.0,116,Kodigehalli
8960145b2a7ffff,13.007417927733565,77.57102461180281,Ranganathapura,80.46,80.79,0.0,137,Malleshwaram
8960145b5c7ffff,12.970000833394062,77.57460972111427,Chickpet Circle,80.39,80.52,0.0,143,City Market
89601690193ffff,13.185608135049264,77.68064176165208,Begur Chikkanahalli,80.33,80.73,0.0,141,Chikkajala
8960145b307ffff,13.007469925642374,77.55417907160238,Rajaji Nagar,79.98,80.43,1.0,132,Malleshwaram
8960145b377ffff,13.012818011780556,77.55246351391641,Kirloskar Foundry,79.34,79.57,0.0,144,Malleshwaram
8960145b55bffff,12.979613223528302,77.57657585825223,R Subanna Circle,78.69,78.84,0.0,144,Upparpet
8960145a24fffff,12.973287826618714,77.54999956782973,Mallige Thotta,78.32,79.19,1.0,112,Magadi Road
8960145b16bffff,12.996799481813879,77.54918850116988,Manjunatha Nagar,77.66,77.92,0.0,135,Vijayanagara
89618920963ffff,12.94069311529191,77.69512487563676,Kadubisanahalli Junction,75.99,78.26,3.0,79,HAL Old Airport
8960145b4cbffff,12.98167451890872,77.59947811999245,Mantri Altiue Apartment,75.84,76.62,1.0,107,Shivajinagar
8960145b073ffff,12.998865016133278,77.5720847986004,RR Palace,75.17,75.45,0.0,140,Malleshwaram
8961892e16bffff,12.99640764193975,77.66716347604782,Royal Heritage,75.13,75.98,1.0,117,Mahadevapura
8961892e387ffff,12.999583246892685,77.67625343565611,Venkatappa Colony,75.02,75.91,1.0,107,Banaswadi
8961892e9a3ffff,12.97844134799895,77.60724811631391,Tasker Town,74.91,75.41,1.0,126,Shivajinagar
89618925b6fffff,12.965709724440659,77.57935123577114,Dodpete,74.2,74.43,0.0,139,City Market
8961892c9d7ffff,13.035144005155646,77.5907477030071,Vinayaka Nagar,73.97,74.67,1.0,124,Hebbala
8960145b3b7ffff,12.997858688504897,77.55221395118276,Navarang Circle,73.96,74.5,1.0,124,Malleshwaram
8960145b58bffff,12.966796715509812,77.57395437899618,Santhusapete,73.92,74.43,1.0,121,Chamarajpet
89618925b63ffff,12.963564041258365,77.58172203843483,Potters Colony,73.1,73.5,1.0,125,Halasuru Gate
89618925b2bffff,12.959301336693967,77.57804041970552,Kalasipalyam,73.1,73.74,1.0,119,City Market
8961892cb7bffff,13.06935538079265,77.5865073615551,Fortune Acacia,72.96,74.12,2.0,107,Kodigehalli
89618920b0fffff,12.957781055162462,77.701442892283,Marathahalli,72.61,72.97,0.0,131,HAL Old Airport
8960169052fffff,13.182402701570084,77.67998407618401,Begur Chikkanahalli,72.24,72.68,1.0,136,Chikkajala
8960145a223ffff,12.9637041207288,77.53961509431802,RPC Layout,71.72,73.43,2.0,82,Vijayanagara
8961892cb4fffff,13.070415490648262,77.58953492414777,Olivia,71.26,72.91,2.0,99,Kodigehalli
8960145b6a7ffff,12.99240244249606,77.587621962968,Kalpana Circle,71.12,72.91,3.0,80,High ground
8960145b547ffff,12.97749564390411,77.5705236128301,Majestic Circle,70.73,71.75,1.0,101,Chamarajpet
8961892e98fffff,12.98055854458168,77.61330313217205,Sivanchetti Gardens,70.35,71.27,1.0,109,Shivajinagar
8960145a2b7ffff,12.953006965122391,77.54304558560234,Satellite Bus Stand Junction,70.33,70.96,1.0,117,Byatarayanapura
8961892e933ffff,12.983791902122054,77.60553261750874,Chandni Chowk,70.21,70.74,1.0,118,Shivajinagar
8960145b323ffff,13.008554904176677,77.54878292418903,Rajaji Nagar,70.09,70.75,1.0,119,Rajajinagar
89618925b67ffff,12.962505527498655,77.57869581850632,City Market Circle,69.6,70.01,1.0,130,City Market
89618925453ffff,12.931108774035975,77.68472005396784,Saffron Square,69.6,70.82,2.0,94,HAL Old Airport
8960145b5dbffff,12.972118136651636,77.58066212569537,Mysore Bank Circle,69.4,70.06,1.0,108,Upparpet
8960145a69bffff,12.942222235206764,77.57173794273496,Shopper Junction,68.78,69.52,1.0,114,Basavanagudi
8961892e3d3ffff,13.005964636190964,77.68600190431579,SM Layout,68.73,70.96,3.0,80,K.R. Pura
8960145b373ffff,13.013877446502654,77.55548924418619,World Trade Centre,68.58,68.89,0.0,130,Malleshwaram
8961892c98bffff,13.034084442603538,77.58772044162937,Vinayaka Nagar,68.29,69.16,1.0,114,Hebbala
8960145b193ffff,12.976464345269372,77.55907568821858,Block C,68.15,68.83,1.0,113,Magadi Road
8960145b1b7ffff,12.975432677542601,77.54762931624687,Sindhya Sunshine Apartment,68.14,69.88,3.0,84,Vijayanagara
8961892092bffff,12.936429615180558,77.69143727612253,Rajiv Nagar,67.64,69.31,2.0,85,HAL Old Airport
8960145a6d7ffff,12.945426349293017,77.57239319319545,Gandhi Bazar Circle,67.56,68.09,1.0,125,Basavanagudi
8961892ec9bffff,12.971852714139537,77.6565059964633,Nada Prabhu Kempegowda Circle,67.48,69.09,2.0,93,Jeevanbheemanagar
89618920babffff,12.951368871177712,77.70012777369645,Soulspace Paradigm,67.47,69.34,3.0,85,HAL Old Airport
8960145b54bffff,12.981758530571385,77.57420503354466,Anand Rao Circle,67.47,67.9,1.0,121,Upparpet
8961892e3b7ffff,12.997466177905894,77.67019333903689,Tin Factory Junction,67.34,68.14,1.0,113,Mahadevapura
8960145b00fffff,12.995660974935294,77.57142943996658,Shivanandappa Layout,67.07,68.21,2.0,98,Malleshwaram
8960145b423ffff,12.978526573156591,77.5819730894831,Railway Officers Enclave,66.5,66.97,1.0,116,Upparpet
89618926397ffff,12.840364438188738,77.64644298941454,Ajmera Annex,66.2,68.44,3.0,86,Electronic City
89618920927ffff,12.932166211195808,77.68774993058796,Vajram Onyx,66.11,68.22,3.0,76,HAL Old Airport
8960145b49bffff,12.972061070861429,77.59751074869045,Walton Road Circle,66.1,66.65,1.0,109,Cubbon Park
8960145b077ffff,12.997805905424,77.56905859325387,Parisara Organic Junction,65.76,67.11,2.0,95,Malleshwaram
8960145b147ffff,12.992510341531737,77.55392942506437,KPTCL Quarters,65.51,67.46,3.0,91,Rajajinagar
89618925c6bffff,12.936720269265134,77.61557244387359,Koramangala,65.31,66.08,1.0,101,Adugodi
89601690c2bffff,13.191039786640756,77.64517618448407,Sadahalli Gate Junction,65.12,66.58,2.0,95,Chikkajala
8961892c96fffff,13.048010786985785,77.5765189678923,Nagashetty Halli,64.79,66.78,3.0,84,Kodigehalli
8960145b437ffff,12.975322351878015,77.581317598356,Maharani College Junction,64.53,65.5,2.0,96,Upparpet
8960145b063ffff,13.001009906965388,77.56971391430437,Acharya Sri Ramanuja Circle,64.41,65.29,1.0,105,Malleshwaram
896189242afffff,12.9056646806173,77.62889099881725,BKL Colony,64.29,65.61,2.0,97,HSR Layout
89601458493ffff,12.96905246033686,77.5378998091042,Police Quarters,64.25,65.16,1.0,101,Vijayanagara
8960145b5d7ffff,12.967855321823299,77.57698046332845,Medarpet,64.07,65.11,2.0,98,City Market
89618920a2bffff,12.966276129135844,77.71725580605394,Vijetha Lapis Lazati,63.87,66.97,5.0,66,HAL Old Airport
89618920973ffff,12.938544576095943,77.69749775856803,Darshan Layout,63.58,64.36,1.0,104,HAL Old Airport
8960145849bffff,12.972256014821763,77.53855451500966,Vijaya Nagar,63.54,64.44,1.0,100,Vijayanagara
8961892e923ffff,12.985937751109661,77.60316119029105,Shivaji Nagar,63.52,64.35,1.0,101,Shivajinagar
8961892e9afffff,12.980587322353712,77.60487669651708,Tasker Town,63.49,64.14,1.0,103,Shivajinagar
8960145b3afffff,13.0032068760867,77.55049845089017,Dr M Munivenkataswamy Circle,63.47,65.19,3.0,89,Malleshwaram
