h3,lat,lon,area,police_station,growth_x,delta_per_day,base_rate,rec_rate,rec_n,CIS,top_violation
8961892ebc7ffff,13.007255353639623,77.62158035665794,Old Bagalur Layout,Pulikeshinagar(F.Town),43.8,2.427,0.03669724770642202,2.4634146341463414,101.0,32.92,NO PARKING
896189246b3ffff,12.886332082904321,77.65023391915818,Old Prabhu Layout,Electronic City,35.15,0.683,0.0,0.6829268292682927,28.0,22.38,WRONG PARKING
89618925cb3ffff,12.916402021319747,77.61703487260975,Someshwara Colony,Mico Layout,32.71,0.634,0.0,0.6341463414634146,26.0,18.56,WRONG PARKING
896014595b7ffff,13.01286829482432,77.53562119741419,Syndicate Bank Quarters,Rajajinagar,31.49,0.61,0.0,0.6097560975609756,25.0,21.55,NO PARKING
89618925d6fffff,12.928256959316693,77.59135811478713,Corporation Layout,Jayanagara,30.27,0.585,0.0,0.5853658536585366,24.0,17.69,WRONG PARKING
8961892522bffff,12.966500082018399,77.65822152458404,Jeevan Bima Nagar,Jeevanbheemanagar,23.7,1.911,0.06422018348623854,1.975609756097561,81.0,34.22,WRONG PARKING
8960145a483ffff,12.91873569304952,77.5641264624357,ACS Meghana Shalini,Banashankari,19.29,0.366,0.0,0.36585365853658536,15.0,16.36,WRONG PARKING
8961892444fffff,12.88312669250983,77.64957741172739,Filor House,Electronic City,19.29,0.366,0.0,0.36585365853658536,15.0,12.19,WRONG PARKING
8960145a65bffff,12.957184398636516,77.57198846341707,K Mariyappa Circle,V.V.Puram (C.Pet),18.45,1.149,0.045871559633027525,1.1951219512195121,49.0,26.53,NO PARKING
89601459ed7ffff,13.050318648235917,77.51519194164204,Josy Layout,Chikkabanavara,16.85,0.317,0.0,0.3170731707317073,13.0,12.59,WRONG PARKING
89618927383ffff,12.895844543581084,77.67749170690524,Klassik Landmark,Bellandur,16.85,0.317,0.0,0.3170731707317073,13.0,11.2,WRONG PARKING
896014594a7ffff,13.022429200105345,77.55442874309225,Dr Ambedkar Nagar,Yeshwanthpura,15.63,0.293,0.0,0.2926829268292683,12.0,12.51,WRONG PARKING
8960169608bffff,13.093951040329884,77.58029904824161,Yelahanka New Town,Yelahanka,15.63,0.293,0.0,0.2926829268292683,12.0,10.46,WRONG PARKING
8961892ec8bffff,12.973999837334667,77.6541336598593,Geethanjali Layout,Jeevanbheemanagar,14.41,0.268,0.0,0.2682926829268293,11.0,11.67,PARKING IN A MAIN ROAD
8961892ca77ffff,13.072511586851927,77.6040184936489,Kempegowda Circle,Hebbala,14.06,0.381,0.009174311926605505,0.3902439024390244,16.0,15.45,WRONG PARKING
8961892ed1bffff,12.971943653917675,77.63121754714716,Doddaiah Layout,Halasur,14.06,1.219,0.07339449541284404,1.2926829268292683,53.0,31.13,PARKING IN A MAIN ROAD
89618925c8bffff,12.921722140491237,77.62374551467965,FSL Quarters,Madiwala,13.88,1.558,0.10091743119266056,1.6585365853658536,68.0,28.27,NO PARKING
8961892c3c7ffff,13.05954025045937,77.65197583359235,Chikka Aneppa Layout,Hennuru,13.28,1.372,0.09174311926605505,1.4634146341463414,60.0,29.62,NO PARKING
8960145a647ffff,12.95506745820669,77.56593700252081,Keshava Shilpa Circle,Basavanagudi,13.24,0.469,0.01834862385321101,0.4878048780487805,20.0,16.03,NO PARKING
8960145a6a3ffff,12.94119319988444,77.56029116791997,Hanumantha Nagar,Basavanagudi,13.24,0.469,0.01834862385321101,0.4878048780487805,20.0,17.21,WRONG PARKING
89618927387ffff,12.894787606145158,77.67446256992079,Bhuvi Colony,Electronic City,12.4,1.274,0.09174311926605505,1.3658536585365855,56.0,29.54,WRONG PARKING
8960145b00bffff,12.996720039359563,77.57445571314572,Sangeetha Apartment,Sheshadripuram,12.39,0.332,0.009174311926605505,0.34146341463414637,14.0,15.28,WRONG PARKING
8961892cecfffff,13.055327992693885,77.63142641595768,Thanisandra Circle,Hennuru,11.98,0.22,0.0,0.21951219512195122,9.0,8.62,NO PARKING
8960145a6bbffff,12.94225148803638,77.56331648845052,Mount Joy Extension,Basavanagudi,11.97,0.622,0.03669724770642202,0.6585365853658537,27.0,22.83,WRONG PARKING
8960145a6cfffff,12.950776218250006,77.57067794533752,Sankarapuram,V.V.Puram (C.Pet),11.71,0.509,0.027522935779816515,0.5365853658536586,22.0,15.49,NO PARKING
896189252afffff,12.957941840869058,77.65928018705607,SNS Arcade,Jeevanbheemanagar,11.54,0.597,0.03669724770642202,0.6341463414634146,26.0,21.46,PARKING IN A MAIN ROAD
8960145a64bffff,12.959329982503212,77.56961790173713,Shri Ma Ramamurthy Circle,V.V.Puram (C.Pet),10.86,1.192,0.10091743119266056,1.2926829268292683,53.0,29.85,NO PARKING
8960145a22bffff,12.966907708655937,77.54026981935905,Vijay Mansion,Vijayanagara,10.76,0.195,0.0,0.1951219512195122,8.0,8.49,WRONG PARKING
89618920e4fffff,12.957613408823768,77.7436254230179,Sigma Soft Teck Park,Whitefield,10.76,0.195,0.0,0.1951219512195122,8.0,8.07,WRONG PARKING
896189219bbffff,12.979068925833586,77.72832469963723,SJR I Park,Whitefield,10.76,0.195,0.0,0.1951219512195122,8.0,10.29,WRONG PARKING
89618921ab7ffff,13.004657085544283,77.75046934296134,Esplanade,Mahadevapura,10.76,0.195,0.0,0.1951219512195122,8.0,7.96,WRONG PARKING
896189240dbffff,12.889571777945143,77.6424629473342,Kudlu Gate,Electronic City,10.76,0.195,0.0,0.1951219512195122,8.0,7.96,WRONG PARKING
89618925947ffff,12.940046617864743,77.5825308315191,Jayanagar East,Wilson Garden,10.43,5.642,0.5779816513761468,6.219512195121951,255.0,47.46,WRONG PARKING
89601459863ffff,13.05360872153461,77.48217443332275,Anchepalya Village,No Police Station,9.88,0.259,0.009174311926605505,0.2682926829268293,11.0,10.69,WRONG PARKING
