lat,lon,kind,name
13.0362217,77.5663481,Bus station,Chikkamaranahalli
12.9052725,77.5432875,Bus station,Uttarahalli Bus Station
13.0452298,77.547996,Bus station,Jalahalli Village
12.9444378,77.5546637,Bus station,Srinagar Bus Station
12.9115283,77.5730096,Market,Sarakki Market
12.9803877,77.6046163,Mall,Gem Plaza
12.9070833,77.6351607,Bus station,Mangammanapalya
12.9301133,77.5844431,Market,"Fruit, Flower and Vegetable vendors"
12.9190717,77.5936093,Market,Jayanagar 9th Block market
13.0042778,77.551637,Market,Philips Arena Showroom
13.0367319,77.5237031,Bus station,BMTC
12.9226146,77.6225721,Market,Madiwala Market
13.0730486,77.5413377,Bus station,Kuvempunagar 2nd Stage
13.0574214,77.4728055,Metro,Madavara
13.0523616,77.4879154,Metro,Chikkabidarakallu
13.0500898,77.4944461,Metro,Manjunathanagara
13.0422794,77.6248577,Metro,Nagawara (Proposed)
12.9221307,77.5952856,Market,Sri Shakthi Medicals
12.9534085,77.5435706,Bus station,Mysore Road Bus Station
13.0108586,77.5069287,Bus station,Peenya 2nd Stage
12.9803795,77.5760204,Bus station,SRS Bus Station
12.9803246,77.5754733,Bus station,VRL Bus Station
12.942312,77.60802,Mall,Manokamana Cermanic
12.9151671,77.552159,Bus station,Chikkalasandra Bus Stop
12.9123803,77.5371751,Bus station,AGS Layout Bus Stand
12.8894502,77.5940375,Bus station,Arekere MICO Layout Bus Station
13.0098511,77.5691769,Bus station,Malleswaram 18th Cross
12.8389214,77.6597223,Bus station,Wipro EC Bus Stand
12.9307314,77.5471958,Market,Homemart
12.9219037,77.6203113,Mall,Market Square Value Mall
12.9127356,77.6380054,Bus station,HSR Layout
12.916731,77.5999663,Metro,Jayadeva Hospital
12.7778976,77.7711926,Bus station,Attibele
12.9771423,77.6376753,Market,Nitin Stores
12.9563332,77.6944335,Market,
12.9809879,77.6042281,Market,Infantry Road Furniture Market
12.9609947,77.5508936,Bus station,Old Gudahalli
