type,prior,learned,final
PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS,1.0,0.07,0.721
PARKING IN A MAIN ROAD,1.0,0.0,0.7
PARKING NEAR ROAD CROSSING,1.0,0.0,0.7
DOUBLE PARKING,0.95,0.0,0.665
H T V PROHIBITED,0.5,1.0,0.65
PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC,0.85,0.0,0.595
PARKING OPPOSITE TO ANOTHER PARKED VEHICLE,0.8,0.051,0.575
WRONG PARKING,0.7,0.0,0.49
NO PARKING,0.6,0.0,0.42
PARKING OTHER THAN BUS STOP,0.5,0.0,0.35
PARKING ON FOOTPATH,0.4,0.008,0.282
DEFECTIVE NUMBER PLATE,0.05,0.013,0.039
USING BLACK FILM/OTHER MATERIALS,0.05,0.0,0.035
DEMANDING EXCESS FARE,0.05,0.0,0.035
REFUSE TO GO FOR HIRE,0.05,0.0,0.035
WITHOUT SIDE MIRROR,0.05,0.0,0.035
