h3,slope,base,pct_per_month,area,lat,lon,CIS,police_station,n_parking,trend
89618925e77ffff,-10.500000000000002,8.0,-131.3,Samastha Nagar,12.952744336088275,77.61885271682598,18.53,Ashok Nagar,29,Improving
8961892e4c7ffff,-23.000000000000007,17.666666666666668,-130.2,RMZ NXT,12.976985550065494,77.71382451091635,26.59,Mahadevapura,53,Improving
8960145b2cfffff,-11.500000000000002,9.0,-127.8,Embassy One,13.018063321071576,77.58444206885146,20.82,R.T. Nagar,32,Improving
8961892cdafffff,-33.00000000000001,26.0,-126.9,Amale Layout,13.018036981013182,77.5928675963237,29.28,R.T. Nagar,79,Improving
8961892e87bffff,-17.000000000000004,14.666666666666666,-115.9,Maruthi Sevanagar,13.001876269571353,77.63172477606014,25.88,Banaswadi,47,Improving
8961892cd33ffff,-51.099999999999994,46.75,-109.3,Nrupathunga Extension,13.021241324493856,77.59352338362679,41.6,R.T. Nagar,189,Improving
8961892cd23ffff,-36.00000000000001,33.666666666666664,-106.9,Judicial Officers HBCS,13.023386294619495,77.5911519045836,34.34,R.T. Nagar,101,Improving
8961892cd3bffff,-48.70000000000001,45.75,-106.4,P&T Colony,13.024445673718256,77.59417918940602,41.75,R.T. Nagar,189,Improving
8960145b51bffff,-6.000000000000002,5.666666666666667,-105.9,Sowrashtrapete,12.972146259140727,77.57223900913618,17.47,Upparpet,17,Improving
8961892dd8bffff,-22.3,21.25,-104.9,Ex Serviceman Layout,13.071352483220462,77.63470936028378,37.24,Hennuru,100,Improving
896016962abffff,-6.499999999999998,6.333333333333333,-102.6,Nagarjuna Meadows,13.116400840064316,77.5764620522976,13.28,Yelahanka,19,Improving
8960145b123ffff,-5.000000000000003,5.0,-100.0,SR Dinne,12.986129364753623,77.54419855710536,12.66,Vijayanagara,15,Improving
89618925a73ffff,-18.40000000000001,18.5,-99.5,St Patricks Complex,12.96882752616833,77.60528035149072,31.98,Ashok Nagar,99,Improving
8960145b417ffff,-25.60000000000001,27.0,-94.8,Ambedkar Veedhi,12.975294086555424,77.58974166127645,38.81,Cubbon Park,167,Improving
8960145b47bffff,-8.700000000000001,9.25,-94.1,Dharmaprakash Devarao Shivaram Ubhayaker Circle,12.987052699086208,77.5893374753803,26.75,High ground,47,Improving
8961892e5cbffff,-2.4999999999999996,2.6666666666666665,-93.7,Durga Petals,12.97384367596949,77.69629613648969,10.59,Mahadevapura,8,Improving
8960145b603ffff,-23.900000000000006,25.75,-92.8,Income Tax and Central Excise Staff Quarters,13.000929070055918,77.59498730472522,36.43,R.T. Nagar,103,Improving
89601696217ffff,-5.5,6.0,-91.7,Isak Layout,13.117461726903105,77.57948970086345,13.43,Yelahanka,18,Improving
8960145b363ffff,-2.9999999999999996,3.3333333333333335,-90.0,Orion,13.01602173540264,77.55311857184648,10.23,Malleshwaram,11,Improving
89618925d2fffff,-4.400000000000001,5.0,-88.0,Jayanagar,12.920790282058709,77.58702090903402,19.35,Jayanagara,25,Improving
8961892090fffff,-4.400000000000001,5.0,-88.0,Krishvi Gavaakshi,12.935338517634872,77.69684030104168,15.52,HAL Old Airport,20,Improving
89618925b93ffff,-7.500000000000001,8.666666666666666,-86.5,B Venkata Reddy Nagar,12.946425477306134,77.59226523792573,20.08,Wilson Garden,30,Improving
8961892cd03ffff,-4.285714285714285,5.0,-85.7,Mariappa Garden,13.023359989259543,77.59957821262944,14.24,R.T. Nagar,16,Improving
89618925417ffff,-2.0000000000000004,2.3333333333333335,-85.7,Trinity Meadows,12.922582344143182,77.67734648380409,9.1,Bellandur,7,Improving
89618925ad7ffff,-8.000000000000005,9.333333333333334,-85.7,Karnataka Police Quarters,12.960242296968868,77.61476588125205,22.32,Ashok Nagar,37,Improving
8961892c38bffff,-4.499999999999999,5.333333333333333,-84.4,Hoodi,13.05633505760657,77.65131892621984,17.27,Hennuru,22,Improving
8960145b563ffff,-13.800000000000004,17.0,-81.2,Sobha Rajvilas,12.978582021314107,77.56512705469365,33.08,Magadi Road,77,Improving
89601458517ffff,-3.5000000000000018,4.333333333333333,-80.8,BDA Layout,12.968073316985041,77.50962158352039,12.63,Jnanabharathi,15,Improving
89618925c23ffff,-2.4000000000000004,3.0,-80.0,Brindavan Nagar,12.926048129416692,77.61057744573026,24.84,Mico Layout,28,Improving
8960145b3a3ffff,-20.500000000000007,26.0,-78.8,Block K,13.00106242830196,77.55286897286263,34.53,Malleshwaram,89,Improving
89601459b07ffff,-3.8000000000000003,5.0,-76.0,Bynapalya,13.060055193205741,77.46665044877021,25.45,No Police Station,41,Improving
8960145b467ffff,-6.571428571428569,8.666666666666666,-75.8,Trilite Junction,12.984935033785295,77.58328412713915,22.53,High ground,28,Improving
89618925a03ffff,-2.0000000000000013,2.6666666666666665,-75.0,Senior Police Officers Residential Complex,12.963476712834238,77.60699576651213,7.92,Ashok Nagar,8,Improving
89618925673ffff,-2.500000000000001,3.3333333333333335,-75.0,HAL Industrial Area,12.953582554207793,77.68088820553432,10.0,HAL Old Airport,10,Improving
8961892cd13ffff,-1.5000000000000002,2.0,-75.0,Dr Rajkumar Circle,13.021214840559358,77.60194985737418,8.1,R.T. Nagar,6,Improving
89601690e83ffff,-1.5000000000000002,2.0,-75.0,Godrej MSR City,13.202758130798589,77.66164695262967,7.52,Devanahalli Airport,6,Improving
8960145b4cfffff,-19.8,26.5,-74.7,Coffee Board Junction,12.980615826186819,77.59645105689309,39.26,Cubbon Park,161,Improving
